Gene_symbol	Module_assignment
ADCY9	Not significant
ADD1	B down
ADD3	Mono early up
ADGRE5	Not significant
ADGRF3	Not significant
ADGRL1	Not significant
ADI1	Not significant
ADIPOR1	Mono late down
ADIPOR2	Not significant
ADK	Not significant
ADNP	Not significant
ADNP2	Not significant
ADORA2A	Not significant
ADPGK	Not significant
ADPRHL2	Not significant
ADRM1	Not significant
ADSL	Not significant
ADSS	Not significant
AEBP2	Not significant
AFDN	Not significant
AFF1	Not significant
AFF4	Mono early down
AFTPH	Not significant
AGA	Not significant
AGAP2	Not significant
AGER	Not significant
AGFG1	Not significant
AGGF1	Not significant
AGK	Not significant
AGL	Not significant
AGO1	Not significant
AGO2	Not significant
AGO3	Not significant
AGO4	Not significant
AGPAT1	Not significant
AGPAT5	Not significant
AGPS	Not significant
AGTPBP1	Not significant
AGTRAP	Mono late up
AHCTF1	Mono early down
AHCYL1	Not significant
AHCYL2	Not significant
AHDC1	Not significant
AHI1	Not significant
AHRR	Not significant
AHSA1	Global down
AIFM1	Not significant
AIG1	Not significant
AIM2	Global up
AIMP1	Not significant
AIMP2	Not significant
AIP	Not significant
AK2	Mono late up
AKAP1	Not significant
AKAP10	Not significant
AKAP11	Not significant
AKAP12	Not significant
AKAP17A	Not significant
AKAP5	Not significant
AKAP7	Not significant
AKAP8L	Not significant
AKIP1	Not significant
AKIRIN1	Not significant
AKIRIN2	Not significant
AKNA	Mono late down
AKR1A1	Mono early down
AKR1B1	Not significant
AKT1	Not significant
AKT2	Not significant
AKT3	Not significant
AKTIP	Not significant
ALAS1	Mono late up
ALCAM	Not significant
ALDH16A1	Not significant
ALDH18A1	Not significant
ALDH2	B down
ALDH3A2	Not significant
ALDH5A1	Not significant
ALDH6A1	Not significant
ALDH9A1	Not significant
ALDOC	Not significant
ALG1	Not significant
ALG11	Not significant
ALG12	Not significant
ALG13	Not significant
ALG2	Not significant
ALG3	Not significant
ALG5	Not significant
ALG6	Not significant
ALG8	Not significant
ALKBH1	Not significant
ALKBH2	Not significant
ALKBH4	Not significant
ALKBH5	Not significant
ALKBH7	Not significant
ALKBH8	Not significant
ALMS1	Not significant
ALOX5AP	Not significant
ALPK1	Global up
ALYREF	Not significant
AMBRA1	Not significant
AMD1	Not significant
AMFR	Mono late down
AMIGO1	Not significant
AMMECR1L	Not significant
AMPD2	Not significant
AMT	Not significant
AMY2B	Not significant
AMZ2	Not significant
ANAPC1	Not significant
ANAPC10	Not significant
ANAPC11	Not significant
ANAPC13	Not significant
ANAPC15	Not significant
ANAPC16	Not significant
ANAPC2	Not significant
ANAPC4	Not significant
ANAPC5	Not significant
ANGEL1	Not significant
ANGEL2	Not significant
ANK3	Not significant
ANKFY1	Not significant
ANKH	Not significant
ANKIB1	Not significant
ANKRA2	Not significant
ANKRD10	Not significant
ANKRD13A	Not significant
ANKRD13C	Not significant
ANKRD13D	Mono early down
ANKRD23	Not significant
ANKRD27	Not significant
ANKRD28	Not significant
ANKRD35	Not significant
ANKRD37	Not significant
ANKRD44	Global down
ANKRD46	Not significant
ANKRD49	Not significant
ANKRD6	Not significant
ANKS3	Not significant
ANKS6	Not significant
ANKZF1	Not significant
ANO6	Global late down
ANP32A	Not significant
ANP32B	Not significant
ANP32E	Mono late up
ANTXR2	Not significant
ANXA1	Global late down
ANXA11	Mono late down
ANXA2	B down
ANXA5	Mono late down
ANXA6	Global down
ANXA7	Not significant
AP1B1	Not significant
AP1G1	Not significant
AP1G2	Not significant
AP1M1	Not significant
AP1S1	Not significant
AP1S2	Mono late down
AP2A2	Not significant
AP2B1	Not significant
AP2M1	Not significant
AP2S1	Not significant
AP3B1	Not significant
AP3D1	Not significant
AP3M1	Not significant
AP3M2	Not significant
AP3S1	Not significant
AP4B1	Not significant
AP4E1	Not significant
AP4S1	Not significant
AP5B1	Not significant
AP5M1	Not significant
AP5Z1	Not significant
APAF1	Not significant
APBA2	Not significant
APBA3	Not significant
APBB1	Not significant
APBB1IP	Global down
APBB2	Not significant
APC	Global down
APEH	Not significant
APEX1	Mono early down
API5	Not significant
APIP	Not significant
APLP2	Mono early up
APOBEC3C	Not significant
APOBEC3F	Not significant
APOBEC3G	Global up
APOBEC3H	Global up
APOBR	Mono late down
APOL2	Global up
APOL6	Global up
APOO	Not significant
APOOL	Not significant
APP	Not significant
APPBP2	Not significant
APPL2	Not significant
APRT	Not significant
APTX	Not significant
AQR	Not significant
ARAF	Not significant
ARAP1	Not significant
ARAP2	Lymph late up
ARCN1	Not significant
AREL1	Not significant
ARF4	Not significant
ARF5	Not significant
ARF6	B down
ARFGAP1	Not significant
ARFGAP2	Not significant
ARFGAP3	Not significant
ARFGEF1	Not significant
ARFGEF2	Not significant
ARFIP1	Not significant
ARFIP2	Not significant
ARFRP1	Not significant
ARHGAP10	Not significant
ARHGAP12	Not significant
ARHGAP15	Mono late down
ARHGAP18	Not significant
ARHGAP19	Not significant
ARHGAP25	Mono late down
ARHGAP26	Not significant
ARHGAP27	B down
ARHGAP35	Not significant
ARHGAP4	Mono early down
ARHGAP45	Global down
ARHGAP5	Not significant
ARHGAP9	Not significant
ARHGDIA	Global down
ARHGEF1	Global down
ARHGEF11	Not significant
ARHGEF12	Not significant
ARHGEF16	Not significant
ARHGEF2	Not significant
ARHGEF3	Global up
ARHGEF6	Mono early down
ARHGEF7	Not significant
ARHGEF9	Not significant
ARID1A	Mono early down
ARID1B	Not significant
ARID2	Not significant
ARID4A	Mono early down
ARID5A	Not significant
ARID5B	Lymph late up
ARIH1	Not significant
ARIH2	Mono late down
ARL1	Not significant
ARL13B	Not significant
ARL14EP	Not significant
ARL15	Not significant
ARL2	Not significant
ARL3	Not significant
ARL4A	Not significant
ARL4C	Not significant
ARL5A	Not significant
ARL6IP4	Not significant
ARL8A	Not significant
ARL8B	Mono late up
ARMC10	Not significant
ARMC2	Not significant
ARMC7	Not significant
ARMC8	Not significant
ARMCX1	Not significant
ARMCX2	Not significant
ARMCX3	Not significant
ARMCX4	Not significant
ARMCX5	Not significant
ARMT1	Not significant
ARNT	Not significant
ARNTL	Not significant
ARPC1A	NK mid up
ARPC2	Global late down
ARPC3	Mono late down
ARPC4	Not significant
ARPC5L	Not significant
ARPP19	Not significant
ARRB2	Global late down
ARRDC1	Not significant
ARRDC2	Not significant
ARRDC3	Not significant
ARSK	Not significant
ARV1	Not significant
ARVCF	Not significant
ASAH1	Not significant
ASAP1	Not significant
ASB3	Not significant
ASB6	Not significant
ASB8	Not significant
ASCC1	Not significant
ASCC2	Not significant
ASCC3	Mono early down
ASF1A	Not significant
ASF1B	Not significant
ASH2L	Not significant
ASNA1	Not significant
ASNS	Not significant
ASNSD1	Not significant
ASPH	Not significant
ASPSCR1	Not significant
ASRGL1	Not significant
ASTE1	Not significant
ASXL1	Not significant
ASXL2	Not significant
ATAD1	Not significant
ATAD2	Not significant
ATAD5	Not significant
ATE1	Not significant
ATF1	Not significant
ATF2	Not significant
ATF3	Not significant
ATF6	Not significant
ATF6B	Not significant
ATF7	Not significant
ATF7IP2	Not significant
ATG101	Not significant
ATG13	Not significant
ATG16L1	Not significant
ATG2A	Not significant
ATG2B	Not significant
ATG3	Not significant
ATG4B	Not significant
ATG4C	Not significant
ATG5	Not significant
ATIC	Not significant
ATL2	Not significant
ATL3	Not significant
ATM	Global down
ATMIN	Not significant
ATOX1	Mono late up
ATP10D	Not significant
ATP11C	Not significant
ATP13A1	Not significant
ATP13A2	Not significant
ATP13A3	Not significant
ATP1A1	B down
ATP1B3	Not significant
ATP2A2	Not significant
ATP2A3	B down
ATP2B1	Global down
ATP2B4	Global down
ATP2C1	Not significant
ATP5F1A	Global late down
ATP5F1B	Not significant
ATP5F1C	Not significant
ATP5IF1	Not significant
ATP5MC1	Not significant
ATP5MC2	Not significant
ATP5MC3	Not significant
ATP5MD	Not significant
ATP5ME	Mono late up
ATP5MPL	Not significant
ATP5PB	Not significant
ATP5PD	Mono late up
ATP5PF	Not significant
ATP5PO	Global late down
ATP5S	Not significant
ATP6AP2	Mono early up
ATP6V0A2	Not significant
ATP6V0B	Not significant
ATP6V0E1	Not significant
ATP6V1B2	Mono late up
ATP6V1C2	Not significant
ATP6V1D	Not significant
ATP6V1E1	NK mid up
ATP6V1G1	Not significant
ATP6V1H	Not significant
ATP7A	Not significant
ATP8A1	Not significant
ATP8B2	Not significant
ATP9B	Not significant
ATPAF2	Not significant
ATR	Not significant
ATRAID	Not significant
ATRIP	Not significant
ATRN	Not significant
ATXN1	Not significant
ATXN10	Not significant
ATXN1L	Not significant
ATXN2	Not significant
ATXN2L	Not significant
ATXN3	Not significant
ATXN7	Not significant
ATXN7L1	Not significant
ATXN7L2	Not significant
ATXN7L3	Not significant
ATXN7L3B	Not significant
AUP1	Not significant
AVEN	Not significant
AVL9	Not significant
AVPR2	Not significant
AXIN1	Not significant
AZI2	Not significant
AZIN1	Not significant
B2M	Global up
B3GALNT2	Not significant
B3GAT2	Not significant
B3GNT2	Not significant
B3GNTL1	Not significant
B9D2	Not significant
BABAM1	Not significant
BABAM2	Not significant
BACE2	Not significant
BACH1	Mono late down
BACH2	Not significant
BAD	Not significant
BAG3	Not significant
BAG4	Not significant
BAG5	Not significant
BAG6	Not significant
BAHD1	Not significant
BAIAP3	Not significant
BANF1	Not significant
BAP1	Not significant
BARD1	Not significant
BAT1	Not significant
BATF	Mono late up
BAZ1B	Lymph late up
BAZ2A	Not significant
BAZ2B	Mono early down
BBS2	Not significant
BBS4	Not significant
BBS7	Not significant
BBS9	Not significant
BBX	Lymph late up
BCAP29	Not significant
BCAP31	Not significant
BCAS2	Not significant
BCAS3	Not significant
BCAT2	Not significant
BCCIP	Not significant
BCDIN3D	Not significant
BCKDK	Not significant
BCL10	Not significant
BCL11B	Not significant
BCL2	Not significant
BCL2A1	Mono early up
BCL2L13	Not significant
BCL2L2-PABPN1	Mono late down
BCL6	Mono early up
BCL7B	Not significant
BCL7C	Not significant
BCL9L	Not significant
BCLAF1	Mono early down
BCLAF3	Not significant
BCOR	Not significant
BCR	Not significant
BCS1L	Not significant
BDH1	Not significant
BDH2	Not significant
BECN1	Not significant
BEND5	Lymph late up
BET1	Not significant
BEX1	Not significant
BEX2	Not significant
BEX3	Not significant
BEX4	Not significant
BHLHE40	Mono late down
BICD1	Not significant
BICD2	Not significant
BICDL1	Not significant
BICRAL	Not significant
BID	Not significant
BIN1	Mono late down
BIN2	Global late down
BIN3	Not significant
BIRC2	Global up
BIRC6	Global down
BIVM-ERCC5	Mono early down
BLM	Not significant
BLMH	Not significant
BLOC1S2	Not significant
BLOC1S6	Not significant
BLVRA	Not significant
BLVRB	Not significant
BMP2K	Not significant
BMPR2	Not significant
BNIP1	Not significant
BNIP2	Not significant
BNIP3L	Not significant
BOD1	Not significant
BOLA2B	Not significant
BOLA3	Not significant
BOP1	Not significant
BORCS7	Not significant
BPGM	Not significant
BPHL	Not significant
BPNT1	Not significant
BRAF	Not significant
BRAP	Not significant
BRAT1	Not significant
BRCA1	Not significant
BRD1	Not significant
BRD3	Not significant
BRD4	Mono early down
BRD7	Global down
BRD8	Not significant
BRD9	Not significant
BRF1	Not significant
BRF2	Not significant
BRI3	Mono late up
BRI3BP	Not significant
BRIP1	Not significant
BRIX1	Not significant
BRK1	B down
BRMS1	Not significant
BRMS1L	Not significant
BROX	Not significant
BRPF1	Mono early down
BRPF3	Not significant
BRWD3	Not significant
BSCL2	Not significant
BSDC1	Not significant
BSG	Not significant
BST1	Not significant
BST2	Mono early up
BTAF1	Not significant
BTBD11	Not significant
BTBD2	Not significant
BTBD6	Not significant
BTBD7	Not significant
BTBD8	Not significant
BTD	Not significant
BTF3	B/T early up
BTF3L4	Not significant
BTG1	B/T early up
BTG2	Not significant
BTG3	Not significant
BTLA	Not significant
BTN2A2	Not significant
BTN3A1	Not significant
BTN3A3	Not significant
BTRC	Not significant
BUB3	Not significant
BUD13	Not significant
BUD23	B/T early up
BUD31	Not significant
BZW1	Not significant
BZW2	Not significant
C10H20orf24	Mono late up
C10orf128	B down
C10orf76	Not significant
C11H12orf10	Not significant
C11H12orf29	Not significant
C11H12orf57	Mono late down
C11H12orf73	Not significant
C11orf68	Not significant
C12orf49	Not significant
C12orf65	Not significant
C13H2orf49	Not significant
C14H11orf1	Not significant
C14H11orf58	Mono late up
C15H9orf72	Not significant
C15H9orf78	Not significant
C15H9orf85	Not significant
C15orf39	Mono late down
C16H17orf49	Not significant
C16orf86	Not significant
C17orf80	Not significant
C18orf21	Not significant
C18orf25	Not significant
C19orf12	Not significant
C19orf47	Not significant
C19orf66	Global up
C19orf70	Not significant
C1D	Not significant
C1GALT1	Not significant
C1GALT1C1	Not significant
C1H1orf123	Not significant
C1H1orf35	Not significant
C1H1orf52	Not significant
C1QBP	Not significant
C1RL	Not significant
C1orf131	Not significant
C1orf159	Not significant
C1orf174	Not significant
C1orf43	Not significant
C1orf56	Not significant
C1orf74	Not significant
C20H16orf54	Global late down
C20H16orf58	Not significant
C20H16orf72	Not significant
C20H16orf87	Not significant
C21orf2	Not significant
C2CD2	Not significant
C2CD2L	Not significant
C2CD3	Not significant
C2CD5	Not significant
C2H3orf38	Not significant
C2H3orf58	Not significant
C2orf69	Not significant
C3H21orf33	Not significant
C3H21orf59	Not significant
C3H21orf91	Not significant
C3H7orf43	Not significant
C3H7orf50	Global up
C4H6orf203	Not significant
C4H6orf52	Not significant
C4H6orf62	Global up
C4H6orf89	Not significant
C5H4orf27	Not significant
C5H4orf33	Not significant
C5H4orf46	Not significant
C5orf42	Not significant
C6H5orf22	Not significant
C6H5orf24	Not significant
C6H5orf30	Not significant
C6H5orf34	Not significant
C6H5orf63	Not significant
C6orf120	Not significant
C6orf125	Not significant
C6orf48	Not significant
C7H14orf28	Not significant
C7H15orf40	Not significant
C7orf26	Not significant
C7orf55-LUC7L2	Mono early down
C8H8orf59	Not significant
C8orf33	Not significant
C8orf82	Not significant
C9H10orf88	Not significant
CA11	Not significant
CA5B	Not significant
CA6	Lymph late up
CAAP1	Not significant
CAB39	Not significant
CABIN1	Not significant
CACNA1F	Not significant
CACNB3	Not significant
CACUL1	Not significant
CACYBP	Global down
CALCOCO1	Not significant
CALCOCO2	Not significant
CALD1	Not significant
CALHM6	Mono late up
CALR	Not significant
CALU	Not significant
CAMK2D	Not significant
CAMK2G	Not significant
CAMK4	Not significant
CAMKK1	Not significant
CAMKK2	Mono late down
CAMSAP1	Not significant
CAMSAP2	Not significant
CAND1	Not significant
CANT1	Not significant
CANX	Not significant
CAP1	Global late down
CAPG	Mono late up
CAPN1	Not significant
CAPN10	Not significant
CAPN12	Not significant
CAPN15	Not significant
CAPN2	Global up
CAPN3	Not significant
CAPN7	Not significant
CAPRIN1	Not significant
CAPRIN2	Not significant
CAPZA1	NK mid up
CAPZA2	B/T early up
CAPZB	Global down
CARD11	Not significant
CARD19	Not significant
CARHSP1	Not significant
CARM1	Not significant
CARMIL1	Not significant
CARMIL2	Not significant
CARNMT1	Not significant
CARS	Not significant
CARS2	Not significant
CASC4	Not significant
CASD1	Not significant
CASK	Not significant
CASP1	Global up
CASP10	Not significant
CASP12	B/T early up
CASP2	Not significant
CASP4	Not significant
CASP7	Not significant
CASP8	Not significant
CASP8AP2	Mono early down
CASP9	Not significant
CAST	Mono early down
CAT	Mono late down
CBFB	Not significant
CBL	Not significant
CBLB	Not significant
CBR1	Not significant
CBR4	Not significant
CBWD1	Not significant
CBX1	Not significant
CBX3	Not significant
CBX4	Not significant
CBX5	Not significant
CBX6	B down
CBX7	Not significant
CC2D1A	Not significant
CC2D1B	Not significant
CCAR1	Mono early down
CCAR2	Not significant
CCDC107	Not significant
CCDC112	Not significant
CCDC115	Not significant
CCDC12	Not significant
CCDC124	Not significant
CCDC127	Not significant
CCDC130	Not significant
CCDC137	Not significant
CCDC14	Not significant
CCDC167	Not significant
CCDC17	Not significant
CCDC174	Not significant
CCDC18	Not significant
CCDC186	Not significant
CCDC22	Not significant
CCDC25	Not significant
CCDC34	Not significant
CCDC43	Not significant
CCDC47	Not significant
CCDC50	Not significant
CCDC58	Not significant
CCDC6	Not significant
CCDC66	Not significant
CCDC69	Global down
CCDC7	Not significant
CCDC77	Not significant
CCDC82	Not significant
CCDC84	Not significant
CCDC85B	Not significant
CCDC86	Not significant
CCDC88A	B down
CCDC89	Not significant
CCDC9	Not significant
CCDC90B	Not significant
CCDC91	Not significant
CCDC93	Not significant
CCDC94	Not significant
CCHCR1	Not significant
CCM2	Not significant
CCNB1	Not significant
CCNC	Not significant
CCND1	Not significant
CCND2	Not significant
CCND3	Global up
CCNDBP1	Not significant
CCNG1	Mono late down
CCNG2	Not significant
CCNH	Not significant
CCNI	Global late down
CCNJ	Not significant
CCNK	Not significant
CCNL1	Mono late down
CCNL2	Global down
CCNQ	Not significant
CCNT2	Not significant
CCNY	Not significant
CCP110	Not significant
CCPG1	NK mid up
CCR4	Not significant
CCR6	Not significant
CCR7	Not significant
CCR9	Not significant
CCSAP	Not significant
CCSER2	Global late down
CCT2	Mono late down
CCT3	Global down
CCT4	Not significant
CCT5	Mono late down
CCT6A	Global down
CCT7	Not significant
CCT8	Not significant
CD109	Not significant
CD151	Not significant
CD164	Not significant
CD2	Not significant
CD200	Not significant
CD200R1	Not significant
CD200R1L	Not significant
CD247	Not significant
CD27	Not significant
CD274	Not significant
CD28	Not significant
CD2AP	Not significant
CD2BP2	Not significant
CD320	Not significant
CD37	Global late down
CD38	Not significant
CD3D	NK mid up
CD3E	Not significant
CD3G	Not significant
CD4	Not significant
CD40LG	Not significant
CD44	Not significant
CD46	Not significant
CD47	Not significant
CD48	B/T early up
CD5	Not significant
CD52	Global late down
CD53	NK mid up
CD58	Not significant
CD6	Not significant
CD63	Mono late up
CD69	B/T early up
CD74	Mono late down
CD79A	B down
CD79B	B down
CD81	Global late down
CD82	Not significant
CD83	Mono late down
CD84	Not significant
CD8B	Not significant
CD9	Not significant
CD96	Not significant
CD99	Not significant
CD99L2	Not significant
CDADC1	Not significant
CDAN1	Not significant
CDC123	Not significant
CDC14A	Not significant
CDC16	Not significant
CDC23	Not significant
CDC25B	Not significant
CDC26	Not significant
CDC27	Not significant
CDC37	Not significant
CDC37L1	Not significant
CDC40	Not significant
CDC42	B/T early up
CDC42BPB	Not significant
CDC42EP3	Mono early up
CDC42SE1	Not significant
CDC42SE2	Global late down
CDC5L	Not significant
CDC73	Not significant
CDCA4	Not significant
CDIPT	Not significant
CDK10	Not significant
CDK12	Not significant
CDK16	Not significant
CDK17	NK mid up
CDK19	Not significant
CDK2	Not significant
CDK2AP1	Not significant
CDK3	Not significant
CDK4	Not significant
CDK5	Not significant
CDK5R1	Not significant
CDK5RAP1	Not significant
CDK5RAP2	Not significant
CDK5RAP3	Not significant
CDK6	Not significant
CDK7	Not significant
CDK8	Not significant
CDKAL1	Not significant
CDKL2	Not significant
CDKN1A	Mono late down
CDKN1B	Global late down
CDKN2AIP	Not significant
CDKN2D	Mono early up
CDR2	Not significant
CDS2	Not significant
CDV3	Global late down
CDYL	Not significant
CEBPG	Not significant
CEBPZ	Not significant
CELF1	B down
CENPB	Not significant
CENPC	Mono early down
CENPE	Not significant
CENPF	Mono late up
CENPJ	Not significant
CENPK	Not significant
CENPS-CORT	Not significant
CENPX	Not significant
CEP104	Not significant
CEP112	Not significant
CEP120	Not significant
CEP128	Not significant
CEP131	Not significant
CEP135	Not significant
CEP152	Not significant
CEP162	Not significant
CEP164	Not significant
CEP170	Global down
CEP19	Not significant
CEP250	Not significant
CEP290	Not significant
CEP295	Not significant
CEP350	Mono early down
CEP41	Not significant
CEP44	Not significant
CEP57	Not significant
CEP57L1	Not significant
CEP63	Not significant
CEP68	Not significant
CEP70	Not significant
CEP78	Mono early up
CEP83	Not significant
CEP85	Not significant
CEP85L	Not significant
CEP89	Not significant
CEP95	Not significant
CEP97	Not significant
CEPT1	Not significant
CERK	Not significant
CERS5	Not significant
CETN2	Not significant
CFAP20	Not significant
CFAP36	Not significant
CFAP97	Not significant
CFD	Mono late down
CFDP1	Not significant
CFI	Not significant
CFL1	Global down
CFL2	Not significant
CFLAR	Global up
CFP	Mono late down
CGAS	Mono late up
CGGBP1	Global late down
CHAMP1	Not significant
CHCHD2	Not significant
CHCHD3	Not significant
CHCHD7	Not significant
CHCHD8	Not significant
CHD1	Lymph late up
CHD1L	Not significant
CHD4	Lymph late up
CHD7	Not significant
CHD8	Not significant
CHD9	Mono early down
CHEK2	Not significant
CHFR	Not significant
CHI3L2	Not significant
CHID1	Not significant
CHM	Not significant
CHMP2A	Not significant
CHMP2B	Not significant
CHMP4B	Not significant
CHMP5	Mono late up
CHMP7	Not significant
CHN2	Not significant
CHORDC1	Not significant
CHP1	Not significant
CHPF	Not significant
CHPF2	Not significant
CHRAC1	Not significant
CHRNA9	Not significant
CHRNB1	Not significant
CHST11	Not significant
CHST12	Not significant
CHST2	Not significant
CHSY1	Not significant
CHTF8	Not significant
CHTOP	Not significant
CHUK	Not significant
CIAO1	Not significant
CIB1	Not significant
CIC	Not significant
CINP	Not significant
CIP2A	Not significant
CIR1	Lymph late up
CIRBP	B/T early up
CISD1	Not significant
CISD3	Not significant
CISH	Not significant
CITED2	Not significant
CIZ1	Not significant
CKAP2L	Not significant
CKAP4	Mono late up
CKAP5	Not significant
CKLF	Mono late down
CLASP1	Not significant
CLASP2	Not significant
CLASRP	Not significant
CLCC1	Not significant
CLCN3	Not significant
CLCN6	Not significant
CLDND1	Not significant
CLEC16A	Not significant
CLEC2B	Global up
CLEC2D	Not significant
CLIC1	Mono late up
CLIC5	Global late down
CLINT1	Mono early down
CLIP1	Not significant
CLIP4	Not significant
CLK1	B/T early up
CLK2	Not significant
CLK3	Not significant
CLK4	Not significant
CLNS1A	Not significant
CLP1	Not significant
CLPB	Not significant
CLPP	Not significant
CLPTM1	Not significant
CLPTM1L	Global down
CLPX	Not significant
CLTA	Not significant
CLTB	Not significant
CLTC	Not significant
CLYBL	Not significant
CMAH	Not significant
CMAS	Not significant
CMC1	Not significant
CMC2	Not significant
CMIP	Mono early down
CMPK1	Not significant
CMPK2	Mono late up
CMTM3	Mono late down
CMTM6	B/T early up
CMTM7	Not significant
CMTR1	NK mid up
CMYA5	Not significant
CNBP	Not significant
CNDP2	Not significant
CNIH1	Not significant
CNIH4	Not significant
CNN2	Not significant
CNNM4	Not significant
CNOT1	Not significant
CNOT10	Not significant
CNOT2	Not significant
CNOT3	Not significant
CNOT4	Mono early down
CNOT6	Not significant
CNOT7	Not significant
CNOT8	Not significant
CNOT9	Not significant
CNP	Not significant
CNPPD1	Not significant
CNPY3	Not significant
CNST	Not significant
CNTROB	Not significant
COA1	Not significant
COA5	Not significant
COA6	Not significant
COASY	Not significant
COG1	Not significant
COG2	Not significant
COG3	Not significant
COG4	Not significant
COG5	Not significant
COG6	Not significant
COG7	Not significant
COIL	Not significant
COL4A3BP	Mono early down
COLGALT1	Not significant
COMMD1	Not significant
COMMD4	Not significant
COMMD5	Not significant
COMMD6	Global late down
COMMD7	Not significant
COMMD8	Not significant
COMMD9	Not significant
COMT	Not significant
COPA	Not significant
COPB1	Not significant
COPB2	Not significant
COPE	Not significant
COPG1	Not significant
COPRS	Not significant
COPS2	Not significant
COPS3	Not significant
COPS4	Not significant
COPS5	Not significant
COPS6	Not significant
COPS7A	Not significant
COPS7B	Not significant
COPS8	Not significant
COPZ1	Not significant
COQ2	Not significant
COQ5	Not significant
COQ6	Not significant
COQ8A	Not significant
COQ8B	Not significant
CORO1A	B down
CORO1B	Not significant
CORO1C	Not significant
CORO2A	Mono late up
CORO6	Not significant
COTL1	B down
COX10	Not significant
COX11	Not significant
COX14	Not significant
COX15	Not significant
COX16	Not significant
COX18	Not significant
COX20	Not significant
COX4I1	Global late down
COX5A	Mono early up
COX6B1	Not significant
COX6C	B down
COX7A2	Not significant
COX7AH	Not significant
COX7C	Not significant
COX8A	Mono early up
CPD	Not significant
CPEB4	Not significant
CPNE3	Not significant
CPQ	Not significant
CPSF1	Not significant
CPSF2	Not significant
CPSF3	Not significant
CPSF4	Not significant
CPSF6	Not significant
CPSF7	Not significant
CPT1A	Not significant
CR1	Not significant
CR2	Not significant
CRACR2A	Not significant
CRACR2B	Not significant
CRAMP1	Not significant
CRAT	Not significant
CRBN	Not significant
CRCP	Not significant
CREB1	Not significant
CREB3L4	Not significant
CREBBP	Mono early down
CREBL2	Not significant
CREBRF	Mono late down
CREBZF	Not significant
CREG1	Mono early up
CRELD1	Not significant
CRELD2	Not significant
CREM	Not significant
CRK	Not significant
CRLF3	Not significant
CRNKL1	Not significant
CROCC	Not significant
CROT	Not significant
CRTC2	Not significant
CRTC3	B/T early up
CRY1	Not significant
CRY2	Not significant
CRYBG1	Not significant
CRYL1	Not significant
CRYZ	Not significant
CRYZL1	Not significant
CS	Not significant
CSAD	Mono early down
CSDE1	Mono late down
CSE1L	Not significant
CSF1	B/T early up
CSGALNACT2	Not significant
CSK	B down
CSNK1A1	Not significant
CSNK1D	Not significant
CSNK1E	Not significant
CSNK1G1	Not significant
CSNK1G2	Not significant
CSNK1G3	Mono late down
CSNK2A1	Not significant
CSNK2A2	Not significant
CSNK2B	Not significant
CSPP1	Not significant
CSRNP1	Not significant
CSRP1	Not significant
CST6	Not significant
CSTB	Mono late down
CSTF1	Not significant
CSTF2	Not significant
CSTF3	Not significant
CTAGE5	Global down
CTBP1	Not significant
CTBS	Not significant
CTC1	Not significant
CTCF	Not significant
CTDNEP1	Not significant
CTDP1	Not significant
CTDSP1	Global down
CTDSP2	Not significant
CTDSPL2	Not significant
CTLA4	Not significant
CTNNA1	Not significant
CTNNB1	Not significant
CTNNBIP1	Not significant
CTNNBL1	Mono late up
CTPS1	Not significant
CTR9	Not significant
CTSA	Mono late up
CTSB	Not significant
